name,url,group,strategy,strategy_tier,redirected,redirect_target,timestamp
Dagens Nyheter,https://www.dn.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:44.201753
Expressen,https://www.expressen.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:44.770061
Sydsvenskan,https://www.sydsvenskan.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:45.418415
Helsingborgs Dagblad,https://www.hd.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:46.021384
Dagens Industri,https://www.di.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:46.600414
Arbetarbladet,https://www.arbetarbladet.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:48.840117
Gefle Dagblad,https://www.gd.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:49.454260
Falu Kuriren,https://www.falukuriren.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:50.071470
Östersunds-Posten,https://www.op.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:50.714666
Sundsvalls Tidning,https://www.st.nu,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:52.968992
Nerikes Allehanda,https://www.na.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:53.605102
VLT,https://www.vlt.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:54.205205
Länstidningen Södertälje,https://www.lt.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:56.459902
Norrtelje Tidning,https://www.norrteljetidning.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:57.085042
Mitti Stockholm,https://www.mitti.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:58.515070
Södra Dalarnes Tidning,https://www.sodran.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:59.120407
Mora Tidning,https://www.moratidning.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:29:59.735029
Avesta Tidning,https://www.avestatidning.com,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:30:00.410403
Ljusnan,https://www.ljusnan.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:30:01.054998
Söderhamns-Kuriren,https://www.soderhamnskuriren.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:30:01.665307
Hudiksvalls Tidning,https://www.ht.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:30:02.287153
Ljusdals-Posten,https://www.ljusdalsposten.se,Bonnier,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:30:02.925207
Aftonbladet,https://www.aftonbladet.se,Schibsted,Tier 5: True Nuclear,Tier 5,False,,2026-02-11T16:30:03.565084
