name,url,group,strategy,strategy_tier,manual_check_strategy,manual_notes,verified_by,verified_date
Norrköpings Tidningar,https://nt.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Upsala Nya Tidning,https://unt.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Östgöta Correspondenten,https://corren.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Norrbottens-Kuriren,https://kuriren.nu,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Norrländska Socialdemokraten,https://nsd.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Folkbladet,https://folkbladet.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Motala Vadstena Tidning,https://mvt.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Västerviks-Tidningen,https://vt.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Hela Gotland,https://helagotland.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Södermanlands Nyheter,https://sn.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Eskilstuna-Kuriren,https://ekuriren.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Katrineholms-Kuriren,https://kkuriren.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Enköpings-Posten,https://eposten.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Vimmerby Tidning,https://vimmerbytidning.se,NTM,Tier 4a: SEO-Captive Nuclear (Vulnerable to Gemini),Tier 4a,,,,
Ljusnan,https://www.ljusnan.se,Bonnier,Tier 5: True Nuclear,Tier 5,,,,
Expressen,https://www.expressen.se,Bonnier,Tier 5: True Nuclear,Tier 5,,,,
Sydöstran,https://www.sydostran.se,Gota Media,Tier 5: True Nuclear,Tier 5,,,,
Vetlanda-Posten,https://www.vetlandaposten.se,Hall Media,Tier 5: True Nuclear,Tier 5,,,,
Nyheter Idag,https://nyheteridag.se,Independent,Tier 5: True Nuclear,Tier 5,,,,
Nya Wermlands-Tidningen,https://www.nwt.se,NWT,Tier 5: True Nuclear,Tier 5,,,,
Sveriges Radio,https://sverigesradio.se,Public Service,Tier 5: True Nuclear,Tier 5,,,,
Aftonbladet,https://www.aftonbladet.se,Schibsted,Tier 5: True Nuclear,Tier 5,,,,
Hallands Nyheter,https://www.hn.se,Stampen,Tier 3: Surgical (Secure),Tier 3,,,,
